level,topic,keywords,explanation,example
A1,Word Classes (Wortarten),"wortarten;nouns;verbs;adjectives;adverbs;pronouns;articles;prepositions;conjunctions;numerals;interjections","German Wortarten (word classes) categorize words by function in sentences.","Das schnelle Auto fährt sehr laut."
A1,Personal Pronouns,"ich;du;er;sie;es;wir;ihr;Sie","Personal pronouns replace nouns to avoid repetition and clarify the actor.","Ich bin Felix."
A1,Nouns & Genders,"nomen;genders;genus","German nouns are always capitalized and have three genders: der (masc), die (fem), das (neut).","Der Tisch, die Lampe, das Auto."
A1,Adverbs (Basic),"adverbs;adverbien;sehr;oft;nie;hier;dort","Basic adverbs modify verbs, adjectives, or other adverbs (e.g., sehr = very, oft = often).","Ich lerne sehr schnell. Er ist nie spät."
A1,Adjective Endings (Basic),"adjektivdeklination;ending","Basic adjective endings change based on the noun’s gender, case, and number.","der gute Mann, eine schöne Blume"
A1,Time & Date Expressions,"time;date;um;am;im","Express time and dates: um 8 Uhr (clock), am Montag (day), im Januar (month).","Der Unterricht beginnt um 8 Uhr am Montag im Januar."
A1,Common Connectors,"und;oder;aber;denn","Basic coordinating conjunctions connect clauses without changing word order.","Ich bin müde, aber ich lerne weiter."
A1,Present Tense (Präsens),"präsens;present;tense","Used for current, habitual, or scheduled actions. Conjugate the verb to match the subject.","Ich lerne Deutsch. Du spielst Fußball."
A1,Nominative Case,"nominativ;wer;was","Marks the subject of a sentence and answers 'Wer oder was?'.","Der Mann liest."
A1,Accusative Case,"akkusativ;wen;was","Marks the direct object of a sentence and answers 'Wen oder was?'.","Ich sehe den Mann."
A1,Asking Price,"kosten;kostet;wie viel","Use 'kostet' for singular and 'kosten' for plural to ask about price.","Wie viel kostet das Brot?"
A1,Expressing Hobbies (mögen;gern),"mögen;gern;hobby","Use 'mögen' + noun or 'gern' + verb to express likes.","Ich mag Pizza. Ich spiele gern Tennis."
A1,Modal Verbs Present Tense Conjugation,"können;müssen;möchten;wollen;sollen","Present-tense forms for common modal verbs across pronouns.","ich kann, du kannst, er kann; wir können…; ich muss, du musst…; ich möchte, du möchtest…; ich will, du willst…; ich soll, du sollst…"
A1,Main Verbs Present Tense Conjugation,"machen;gehen;haben;sein;sprechen","Present-tense forms for common main verbs across pronouns.","ich mache, du machst, er macht; wir machen…; ich gehe, du gehst…; ich habe, du hast…; ich bin, du bist…; ich spreche, du sprichst…"
A1,Modal Verbs Präteritum Conjugation,"dürfen;können;müssen;sollen;wollen;mögen;möchten","Simple past conjugation for modal verbs.","ich durfte, du durftest, er durfte; wir durften…; ich konnte, du konntest…; ich musste, du musstest…; ich sollte, du solltest…; ich wollte, du wolltest…; ich mochte, du mochtest…; ich möchte, du möchtest…"
A1,Main Verbs Präteritum Conjugation,"machen;gehen;haben;sein;sprechen","Simple past conjugation for common main verbs.","ich machte, du machtest, er machte; wir machten…; ich ging, du gingst…; ich hatte, du hattest…; ich war, du warst…; ich sprach, du sprachst…"
A2,Dative Case,"dativ;wem","Marks the indirect object and answers 'Wem?'.","Ich helfe dem Mann."
A2,Genitive Case,"genitiv;wessen","Shows possession and relationships between nouns.","Das ist das Buch des Lehrers."
A2,Two-way Prepositions,"wechselpräpositionen;in;auf;an;unter","Accusative for movement (ich gehe in die Schule), dative for location (ich bin in der Schule).","Ich lege das Buch auf den Tisch. Das Buch liegt auf dem Tisch."
A2,Comparison of Adjectives,"komparativ;superlativ;vergleich","Form comparatives with -er + als and superlatives with am + -sten.","Er ist schneller als ich. Ich bin am schnellsten."
A2,Perfect Tense (Perfekt),"perfekt;haben;sein;partizip","Formed with haben/sein + Partizip II to describe past actions. Movement verbs use sein.","Ich habe gegessen. Sie ist gekommen."
A2,Future Tense (Futur I),"futur;werden;future","Use werden + infinitive for future plans or predictions.","Ich werde morgen lernen. Er wird bald ankommen."
A2,Common Connectors (Konjunktionen),"trotzdem;deshalb;außerdem;zuerst;dann","Link clauses logically: trotzdem, deshalb, außerdem, zuerst, dann.","Ich lerne viel, deshalb bestehe ich."
A2,Adverbs of Frequency & Degree,"oft;manchmal;meistens;sehr;ziemlich","Frequency adverbs (oft, manchmal, meistens) and degree adverbs (sehr, ziemlich).","Ich bin meistens pünktlich. Er ist ziemlich groß."
A2,Adverbs of Time, Manner, Place (TMP),"heute;gerne;schnell;hier;draußen","TMP rule: Time, Manner, Place.","Ich lerne heute schnell draußen."
B1,Simple Past (Präteritum),"präteritum;past","Describes past events in narratives: regular -te, irregular stem changes.","Ich ging gestern ins Kino. Er spielte Tennis."
B1,Pluperfect (Plusquamperfekt),"plusquamperfekt;vorvergangenheit","Describes an action completed before another past action.","Ich hatte gegessen, bevor er kam."
B1,Advanced Connectors (Erweiterte Konnektoren),"denn;deshalb;trotzdem;zwar … aber;nicht nur … sondern","Advanced linkers: denn, deshalb, trotzdem, zwar … aber, nicht nur … sondern auch.","Nicht nur lerne ich Deutsch, sondern ich spreche es täglich."
B1,Sentence Adverbs,"ehrlich gesagt;glücklicherweise;offensichtlich","Sentence adverbs that comment on the whole statement.","Ehrlich gesagt, verstehe ich die Aufgabe nicht."
B1,Adverbial Clauses vs. Adverbs,"wenn;obwohl;deshalb;jedoch","Contrast subordinate clauses (wenn, obwohl) with single-word adverbs (deshalb, jedoch).","Ich lerne, deshalb bestehe ich. Obwohl es regnet, gehe ich."
B2,Discourse Adverbs,"allerdings;gleichzeitig;des Weiteren;schließlich","Discourse adverbs link ideas and add cohesion.","Allerdings ist es schwierig, mehrere Sprachen zu lernen."
B2,Adverbial Participle Constructions,"partizipialkonstruktion;adverbial","Use participles as adverbs to condense clauses.","Vom Regen überrascht, ging er nach Hause."
B2,Future Perfect (Futur II),"futur II;future perfect","Expresses that an action will have been completed by a future time.","Bis morgen werde ich den Brief geschrieben haben."
B2,Passive Voice in All Tenses,"passiv;werden;worden","Form passive in Präsens, Präteritum, Perfekt, Plusquamperfekt.","Der Text wird gelesen. Der Text ist gelesen worden."
B2,Complex Relative Clauses,"relativsatz;präpositionen;komplex","Relative clauses with prepositions and complex structures.","Das ist der Autor, mit dem ich gesprochen habe."
B2,Nominal Style,"nominalstil;nominalisierung","Nominalization of complex sentences into nouns.","Sein Zuspätkommen war ein Problem."
B2,Extended Infinitive Constructions,"infinitiv;um zu","Advanced infinitive constructions with 'um ... zu'.","Es ist notwendig, mehr zu lernen, um die Prüfung zu bestehen."
B2,Modal Verbs in Passive,"modalverben;passiv","Use modal verbs in the passive voice.","Die Aufgaben müssen gemacht werden."
B2,Participial Constructions,"partizipialkonstruktion","Participial constructions as substitutes for subordinate clauses.","Der in Berlin lebende Autor…"
B2,Subordinate Clause Types,"konditional;kausal;final;konsekutiv;konzessiv","Conditional, causal, final, consecutive, and concessive clauses.","Wenn ich Zeit hätte, würde ich gehen; damit ich Ruhe habe; obwohl ich müde bin."
B2,Advanced Temporal Clauses,"nachdem;bevor;während;bis","Complex time relationships in subordinate clauses.","Nachdem er gegessen hatte, ging er spazieren."
B2,Subjective Modal Verbs,"muss;dürfte;sollte","Express subjective meanings with modal verbs for speculation.","Er muss krank sein. Sie dürfte angekommen sein."
B2,Verbs with Fixed Prepositions,"abhängen von;bestehen auf;sich kümmern um","Verbs that require specific prepositions.","Ich bestehe auf meinem Recht."
B2,Advanced Connectors,"sowohl … als auch;je … desto;weder … noch","Use advanced connectors for nuanced linking.","Je mehr ich lerne, desto besser verstehe ich."
B2,Adjective & Adverb Use,"adjektiv;adverb","High-level use of adjectives and adverbs.","Sie spricht fließend Deutsch."
B2,Discourse Markers,"also;dennoch;jedenfalls","Markers for argumentation and discourse.","Ich bin der Meinung, dass..."
B2,Ellipsis,"ellipsen;auslassung","Omission of elements in casual speech.","Komme gleich!"
B2,Stylistic Devices,"parallelismus;rhetorische fragen;wiederholungen","Stylistic devices like parallelism and rhetorical questions.","Was willst du? Wo gehst du?"
B2,Coherence & Cohesion,"kohärenz;konsistenz;textbindung","Link sentences coherently with pronouns and connectors.","Die Sonne scheint. Deshalb gehe ich spazieren."
B2,Advanced Word Order,"satzstellung;umstellung","Inversion and advanced word order for emphasis.","Nur durch harte Arbeit lernt man wirklich."
A2,Accusative Prepositions,"bis;durch;für;gegen;ohne;um;entlang","These prepositions always take the accusative case: bis, durch, für, gegen, ohne, um, entlang.","Ich gehe durch den Park. Wir fahren um den See herum."
A2,Dative Prepositions,"aus;außer;bei;mit;nach;seit;von;zu;gegenüber","These prepositions always take the dative case: aus, außer, bei, mit, nach, seit, von, zu, gegenüber.","Er kommt aus der Stadt. Ich fahre mit dem Bus. Sie wohnt gegenüber dem Markt."
A2,Two-way Prepositions Full,"an;auf;hinter;in;neben;über;unter;vor;zwischen","Wechselpräpositionen take accusative for movement and dative for location: an, auf, hinter, in, neben, über, unter, vor, zwischen.","Ich lege das Buch auf den Tisch. Das Buch liegt auf dem Tisch."
A1,Definite & Indefinite Articles Declension,"der;die;das;die;ein;eine;ein","Declension for definite (der/die/das/die) and indefinite (ein/eine/ein) articles in all cases.","Nominative: der Hund/ein Hund; Accusative: den Hund/einen Hund; Dative: dem Hund/einem Hund; Genitive: des Hundes/eines Hundes."
